fonte,estacao,coluna
INMET,SALGUEIRO,"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)"
INMET,SALGUEIRO,TEMPERATURA DO PONTO DE ORVALHO (°C)
INMET,SALGUEIRO,TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C)
INMET,SALGUEIRO,TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C)
INMET,SALGUEIRO,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C)
INMET,SALGUEIRO,TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C)
INMET,SALGUEIRO,UMIDADE REL. MAX. NA HORA ANT. (AUT) (%)
INMET,SALGUEIRO,UMIDADE REL. MIN. NA HORA ANT. (AUT) (%)
INMET,SALGUEIRO,"UMIDADE RELATIVA DO AR, HORARIA (%)"
INMET,SALGUEIRO,"VENTO, DIREÇÃO HORARIA (gr) (° (gr))"
INMET,SALGUEIRO,"VENTO, RAJADA MAXIMA (m/s)"
INMET,SALGUEIRO,"VENTO, VELOCIDADE HORARIA (m/s)"
