fonte,run_id,id,nome,latitude,longitude,precipitacao_24h_mm
APAC,20260819T213416Z,1234,Maraial - Centro*,-8.783000000000000,-35.811000000000000,0.0
APAC,20260819T213416Z,1198,Moreno - Centro*,-8.118000000000000,-35.101000000000000,0.0
APAC,20260819T213416Z,1195,Correntes - Centro*,-9.128000000000000,-36.329000000000000,0.0
APAC,20260819T213416Z,1387,Chã de Alegria - Chã de Alegria - APAC [Compesa],-7.997540000000000,-35.215840000000000,0.0
APAC,20260819T213416Z,1245,Cabo de Santo Agostinho - Charneca*,-8.297000000000000,-35.057000000000000,0.0
APAC,20260819T213416Z,1188,Caruaru - Cidade Jardim*,-8.277000000000000,-35.949000000000000,0.0
APAC,20260819T213416Z,1380,Igarassu - CIPOMA - APAC,-7.872470000000000,-34.912010000000000,0.0
APAC,20260819T213416Z,1486,Iguaraci - COMPESA - APAC,-7.837320000000000,-37.514450000000000,0.0
APAC,20260819T213416Z,1494,Moreilândia - COMPESA - APAC,-7.627500000000000,-39.551220000000000,0.0
APAC,20260819T213416Z,1490,Ipubi - COMPESA - APAC,-7.658280000000000,-40.157280000000000,0.0
APAC,20260819T213416Z,1451,Casinhas - COMPESA - APAC,-7.746060000000000,-35.725440000000000,0.2
APAC,20260819T213416Z,1419,Cortês - COMPESA - APAC,-8.470640000000000,-35.544500000000000,0.2
APAC,20260819T213416Z,1453,Santa Cruz do Capibaribe - COMPESA - APAC,-7.957980000000000,-36.218180000000000,0.0
APAC,20260819T213416Z,1487,Brejinho - COMPESA - APAC,-7.345660000000000,-37.289700000000000,0.0
APAC,20260819T213416Z,1481,Calumbi - COMPESA - APAC,-7.938810000000000,-38.152940000000000,0.0
APAC,20260819T213416Z,1424,São Joaquim do Monte - COMPESA - APAC,-8.432730000000000,-35.804940000000000,0.59
APAC,20260819T213416Z,1418,São Benedito do Sul - COMPESA - APAC,-8.802520000000000,-35.938860000000000,2.76
APAC,20260819T213416Z,1436,Machados - COMPESA - APAC,-7.688940000000000,-35.508660000000000,0.59
APAC,20260819T213416Z,1412,Buenos Aires - COMPESA - APAC,-7.723340000000000,-35.323340000000000,0.0
APAC,20260819T213416Z,1433,São Caetano - COMPESA - APAC,-8.336110000000000,-36.125560000000000,0.0
APAC,20260819T213416Z,1425,Sanharó - COMPESA - APAC,-8.356530000000000,-36.558440000000000,0.0
APAC,20260819T213416Z,1416,Sirinhaém - COMPESA - APAC,-8.594570000000000,-35.109970000000000,0.0
APAC,20260819T213416Z,1417,Primavera - COMPESA - APAC,-8.327500000000000,-35.349830000000000,5.34
APAC,20260819T213416Z,1430,Calçado - COMPESA - APAC,-8.737500000000000,-36.337890000000000,0.0
APAC,20260819T213416Z,1432,Cachoeirinha - COMPESA - APAC,-8.492450000000000,-36.238120000000000,2.59
APAC,20260819T213416Z,1468,Palmerina - COMPESA - APAC,-9.000280000000000,-36.334720000000000,0.0
APAC,20260819T213416Z,1466,Bonito - COMPESA - APAC,-8.478560000000000,-35.723530000000000,0.0
APAC,20260819T213416Z,1405,Macaparana - COMPESA - APAC,-7.558100000000000,-35.452610000000000,0.0
APAC,20260819T213416Z,1434,Lagoas dos Gatos - COMPESA - APAC,-8.663000000000000,-35.904600000000000,0.0
APAC,20260819T213416Z,1396,Nazaré da Mata - COMPESA - APAC,-7.730620000000000,-35.232580000000000,0.0
APAC,20260819T213416Z,1470,Altinho - COMPESA - APAC,-8.490000000000000,-36.058330000000000,4.76
APAC,20260819T213416Z,1476,Custódia - COMPESA - APAC,-8.086510000000000,-37.632230000000000,0.0
APAC,20260819T213416Z,1471,Poção - COMPESA - APAC,-8.185560000000000,-36.707780000000000,0.8
APAC,20260819T213416Z,1395,Lagoa do Carro - COMPESA - APAC,-7.843850000000000,-35.300580000000000,0.0
APAC,20260819T213416Z,1479,Itapetim - COMPESA - APAC,-7.375360000000000,-37.190180000000000,0.0
APAC,20260819T213416Z,1482,Afogados da Ingazeira - COMPESA - APAC,-7.742950000000000,-37.625160000000000,0.0
APAC,20260819T213416Z,1467,Bom Jardim - COMPESA - APAC,-7.791000000000000,-35.595890000000000,0.0
APAC,20260819T213416Z,1463,Paudalho - COMPESA - APAC,-7.881790000000000,-35.178690000000000,0.0
APAC,20260819T213416Z,1454,Angelim - COMPESA - APAC,-8.888060000000000,-36.286390000000000,0.0
APAC,20260819T213416Z,1455,Toritama - COMPESA - APAC,-8.008930000000000,-36.063170000000000,0.0
APAC,20260819T213416Z,1457,Pedra - COMPESA - APAC,-8.500000000000000,-36.940830000000000,0.0
APAC,20260819T213416Z,1484,Triunfo - COMPESA - APAC,-7.830510000000000,-38.105600000000000,0.0
APAC,20260819T213416Z,1461,Jupi - COMPESA - APAC,-8.710300000000000,-36.395600000000000,0.0
APAC,20260819T213416Z,1465,Cumaru - COMPESA - APAC,-8.006380000000000,-35.709080000000000,0.0
APAC,20260819T213416Z,1381,São Lourenço da Mata - Corpo de Bombeiros - APAC,-7.994190000000000,-35.036990000000000,0.59
APAC,20260819T213416Z,1196,Nova Cortês - Cortês [Nova Cortês],-8.470000000000000,-35.544000000000000,0.0
APAC,20260819T213416Z,1251,Igarassu - Cruz de Rebouças 2*,-7.871000000000000,-34.862000000000000,0.0
APAC,20260819T213416Z,1299,Igarassu - Cruz de Rebouças*,-7.874000000000000,-34.916000000000000,0.0
APAC,20260819T213416Z,1258,Quipapá - Cruzeiro do Congo*,-8.804000000000000,-36.093000000000000,0.0
APAC,20260819T213416Z,1409,Catende - CTC - APAC,-8.672240000000000,-35.718700000000000,0.0
APAC,20260819T213416Z,1216,Rio Formoso - Cucaú*,-8.507000000000000,-35.385000000000000,0.0
APAC,20260819T213416Z,1229,Jaboatão dos Guararapes - Curado II*,-8.080000000000000,-34.997000000000000,0.0
APAC,20260819T213416Z,1199,Nazaré da Mata - Engenho Coqueiro*,-7.733000000000000,-35.264000000000000,0.0
APAC,20260819T213416Z,1406,Timbaúba - Engenho Salgado - APAC,-7.445490000000000,-35.244070000000000,0.0
APAC,20260819T213416Z,1247,Cabo de Santo Agostinho - Enseada dos Corais*,-8.330000000000000,-34.956000000000000,0.0
APAC,20260819T213416Z,1510,ESCADA - ESCADA - APAC,-8.355833000000000,-35.234167000000000,0.0
APAC,20260819T213416Z,1474,Joaquim Nabuco - Escola Eduardo Campos - APAC,-8.632330000000000,-35.534100000000000,6.1
APAC,20260819T213416Z,1428,Panelas - Escola Municipal - APAC,-8.661400000000000,-36.015900000000000,0.0
APAC,20260819T213416Z,1289,Goiana - Estádio Municipal Agamenon Magalhães*,-7.563000000000000,-35.004000000000000,0.0
APAC,20260819T213416Z,1586,EXU - EXU [ESCOLA BÃ¡RBARA DE ALENCAR] - APAC,-7.513390000000000,-39.718480000000000,2.56
APAC,20260819T213416Z,1469,São José da Coroa Grande - Faz. Boca do Rio - APAC,-8.911150000000000,-35.164790000000000,0.99
