codigo_estacao,nome_estacao,fonte,latitude,longitude,codigo_bairro,nome_bairro
1298,IGARASSU - TRÊS LADEIRAS*,APAC,-7.758,-35.036,,
1591,TRINDADE - TRINDADE [PSF] - APAC,APAC,-7.76067,-40.26099,,
1523,TUPANATINGA - TUPANATINGA - APAC,APAC,-8.750469,-37.3253,,
1567,TUPARETAMA - TUPARETAMA [COMPESA] - APAC,APAC,-7.60224,-37.30942,,
1394,TRACUNHAÉM - UNIDADE MISTA DE SAÚDE - APAC,APAC,-7.80379,-35.23131,,
1508,PETROLINA - URU - APAC,APAC,-8.943361,-40.573611,,
1403,TIMBAÚBA - USINA CRUANGI - APAC,APAC,-7.55118,-35.27604,,
1415,VITÓRIA DE SANTO ANTÃO - USINA JB - APAC,APAC,-8.22513,-35.2707,,
1408,CAMUTANGA - USINA OLHO D'ÁGUA - APAC,APAC,-7.41446,-35.25698,,
1393,LAGOA DE ITAENGA - USINA PETRIBU - APAC,APAC,-7.93096,-35.24276,,
1525,VERDEJANTE - VERDEJANTE - APAC,APAC,-7.930167,-38.968306,,
1575,VERTENTE DO LÃ‰RIO - VERTENTE DO LÃ©RIO [EREN] - APAC,APAC,-7.77354,-35.84377,,
1515,VICÊNCIA - VICENCIA - APAC,APAC,-7.668806,-35.412472,,
1224,CAMARAGIBE - VILA DA FÁBRICA*,APAC,-7.999,-34.98,,
