identificador,tipo,entidade,ano,coluna,quantidade_valores_unicos,dtype_inferido
chikungunya_2025,fato,chikungunya,2025.0,GRAV_INSUF,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,GRAV_TAQUI,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,GRAV_EXTRE,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,GRAV_HIPOT,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,GRAV_HEMAT,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,GRAV_MELEN,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,GRAV_METRO,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,GRAV_SANG,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,GRAV_AST,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,GRAV_MIOC,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,GRAV_CONSC,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,GRAV_ORGAO,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,DT_GRAV,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,MANI_HEMOR,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,EPISTAXE,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,GENGIVO,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,METRO,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,PETEQUIAS,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,HEMATURA,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,SANGRAM,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,LACO_N,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,PLASMATICO,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,EVIDENCIA,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,PLAQ_MENOR,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,CON_FHD,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,COMPLICA,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,NU_LOTE_I,0,vazio
chikungunya_2025,fato,chikungunya,2025.0,DS_OBS,525,texto
chikungunya_2024,fato,chikungunya,2024.0,NU_NOTIFIC,2478,inteiro
chikungunya_2024,fato,chikungunya,2024.0,TP_NOT,1,inteiro
chikungunya_2024,fato,chikungunya,2024.0,ID_AGRAVO,1,texto
chikungunya_2024,fato,chikungunya,2024.0,DT_NOTIFIC,302,texto
chikungunya_2024,fato,chikungunya,2024.0,SEM_NOT,53,inteiro
chikungunya_2024,fato,chikungunya,2024.0,NU_ANO,1,inteiro
chikungunya_2024,fato,chikungunya,2024.0,SG_UF_NOT,3,inteiro
chikungunya_2024,fato,chikungunya,2024.0,ID_MUNICIP,11,inteiro
chikungunya_2024,fato,chikungunya,2024.0,ID_REGIONA,4,inteiro
chikungunya_2024,fato,chikungunya,2024.0,ID_UNIDADE,120,inteiro
chikungunya_2024,fato,chikungunya,2024.0,DT_SIN_PRI,376,texto
chikungunya_2024,fato,chikungunya,2024.0,SEM_PRI,71,inteiro
chikungunya_2024,fato,chikungunya,2024.0,DT_NASC,2307,texto
chikungunya_2024,fato,chikungunya,2024.0,NU_IDADE_N,103,inteiro
chikungunya_2024,fato,chikungunya,2024.0,CS_SEXO,3,texto
chikungunya_2024,fato,chikungunya,2024.0,CS_GESTANT,7,inteiro
chikungunya_2024,fato,chikungunya,2024.0,CS_RACA,6,inteiro
