identificador,tipo,entidade,ano,resource_id,object_key,quantidade_registros,quantidade_colunas,quantidade_duplicados
zika_2023,fato,zika,2023.0,8bc815dd-dc60-4716-a696-28d0bfc9569d,bronze/recife/arboviroses/fatos/zika/ano=2023/ingestion=20260819T211915Z/8bc815dd-dc60-4716-a696-28d0bfc9569d.csv,226,47,0
zika_2022,fato,zika,2022.0,a6333bda-a688-4935-b79a-8559b3e0e389,bronze/recife/arboviroses/fatos/zika/ano=2022/ingestion=20260819T211915Z/a6333bda-a688-4935-b79a-8559b3e0e389.csv,216,47,0
zika_2021,fato,zika,2021.0,9dde377f-5370-404b-b14d-cefcfd2d03ad,bronze/recife/arboviroses/fatos/zika/ano=2021/ingestion=20260819T211915Z/9dde377f-5370-404b-b14d-cefcfd2d03ad.csv,17664,125,0
zika_2020,fato,zika,2020.0,c02b0a3b-c41c-4eea-bd6b-0913e13b9da2,bronze/recife/arboviroses/fatos/zika/ano=2020/ingestion=20260819T211915Z/c02b0a3b-c41c-4eea-bd6b-0913e13b9da2.csv,249,43,0
zika_2019,fato,zika,2019.0,3c99170a-22af-4394-80a3-94938be9e198,bronze/recife/arboviroses/fatos/zika/ano=2019/ingestion=20260819T211915Z/3c99170a-22af-4394-80a3-94938be9e198.csv,211,43,0
zika_2018,fato,zika,2018.0,c2f9c59d-0acc-4fde-8d86-30cf559342ea,bronze/recife/arboviroses/fatos/zika/ano=2018/ingestion=20260819T211915Z/c2f9c59d-0acc-4fde-8d86-30cf559342ea.csv,117,43,0
zika_2017,fato,zika,2017.0,d58c9c98-c2f1-41b0-8bc7-d1ad141a766c,bronze/recife/arboviroses/fatos/zika/ano=2017/ingestion=20260819T211915Z/d58c9c98-c2f1-41b0-8bc7-d1ad141a766c.csv,134,43,0
zika_2016,fato,zika,2016.0,5a96362e-01bc-494b-bcd9-f9afea342432,bronze/recife/arboviroses/fatos/zika/ano=2016/ingestion=20260819T211915Z/5a96362e-01bc-494b-bcd9-f9afea342432.csv,4284,43,0
zika_2015,fato,zika,2015.0,87fc0dd3-18d2-4881-af75-b885502d69e7,bronze/recife/arboviroses/fatos/zika/ano=2015/ingestion=20260819T211915Z/87fc0dd3-18d2-4881-af75-b885502d69e7.csv,447,43,0
dengue_2025,fato,dengue,2025.0,45a675e2-d387-4019-bb6e-4b915b74b1bf,bronze/recife/arboviroses/fatos/dengue/ano=2025/ingestion=20260819T211915Z/45a675e2-d387-4019-bb6e-4b915b74b1bf.csv,9187,130,0
dengue_2024,fato,dengue,2024.0,7755fe11-48f0-4797-ac5a-78d6da0fc8d9,bronze/recife/arboviroses/fatos/dengue/ano=2024/ingestion=20260819T211915Z/7755fe11-48f0-4797-ac5a-78d6da0fc8d9.csv,10548,130,0
dengue_2023,fato,dengue,2023.0,18ffe3a6-9f3c-4259-8c85-f3dae9c8d8ae,bronze/recife/arboviroses/fatos/dengue/ano=2023/ingestion=20260819T211915Z/18ffe3a6-9f3c-4259-8c85-f3dae9c8d8ae.csv,3523,130,0
dengue_2022,fato,dengue,2022.0,a727370f-b948-45f2-9eab-63de525e610e,bronze/recife/arboviroses/fatos/dengue/ano=2022/ingestion=20260819T211915Z/a727370f-b948-45f2-9eab-63de525e610e.csv,2906,130,8
dengue_2021,fato,dengue,2021.0,816b18c2-783e-4d18-b6c3-4bc4c83491ab,bronze/recife/arboviroses/fatos/dengue/ano=2021/ingestion=20260819T211915Z/816b18c2-783e-4d18-b6c3-4bc4c83491ab.csv,10898,126,0
dengue_2020,fato,dengue,2020.0,c68598c9-abfc-4cc8-8f5b-4e24063a7923,bronze/recife/arboviroses/fatos/dengue/ano=2020/ingestion=20260819T211915Z/c68598c9-abfc-4cc8-8f5b-4e24063a7923.csv,3540,125,0
dengue_2019,fato,dengue,2019.0,9631a238-e0a7-4aba-af21-0ca429f04ae7,bronze/recife/arboviroses/fatos/dengue/ano=2019/ingestion=20260819T211915Z/9631a238-e0a7-4aba-af21-0ca429f04ae7.csv,7308,126,0
dengue_2018,fato,dengue,2018.0,2fc67253-7580-48a0-b0ba-618fdbbf7307,bronze/recife/arboviroses/fatos/dengue/ano=2018/ingestion=20260819T211915Z/2fc67253-7580-48a0-b0ba-618fdbbf7307.csv,2687,111,0
dengue_2017,fato,dengue,2017.0,174737d6-8d7e-49de-ad57-29a1eb983835,bronze/recife/arboviroses/fatos/dengue/ano=2017/ingestion=20260819T211915Z/174737d6-8d7e-49de-ad57-29a1eb983835.csv,2454,107,0
dengue_2016,fato,dengue,2016.0,c5dd621b-2923-4a35-a599-a78d8e283938,bronze/recife/arboviroses/fatos/dengue/ano=2016/ingestion=20260819T211915Z/c5dd621b-2923-4a35-a599-a78d8e283938.csv,18612,126,0
dengue_2015,fato,dengue,2015.0,5dbe902b-cd0a-4029-a4ed-dc2e0e4960e9,bronze/recife/arboviroses/fatos/dengue/ano=2015/ingestion=20260819T211915Z/5dbe902b-cd0a-4029-a4ed-dc2e0e4960e9.csv,34556,126,0
dengue_2014,fato,dengue,2014.0,f30d05cb-04e5-40ac-918f-6fb7659986eb,bronze/recife/arboviroses/fatos/dengue/ano=2014/ingestion=20260819T211915Z/f30d05cb-04e5-40ac-918f-6fb7659986eb.csv,1192,79,0
dengue_2013,fato,dengue,2013.0,b59bab01-4b76-4328-b9d7-0d16dca20252,bronze/recife/arboviroses/fatos/dengue/ano=2013/ingestion=20260819T211915Z/b59bab01-4b76-4328-b9d7-0d16dca20252.csv,3229,79,0
bairro,dimensao,bairro,,0af97ed3-5b04-454b-810f-8e64344d2374,bronze/recife/arboviroses/dimensoes/bairro/ingestion=20260819T211915Z/0af97ed3-5b04-454b-810f-8e64344d2374.csv,95,3,0
distrito,dimensao,distrito,,fabc97d8-8fa2-441d-824a-156a6980b270,bronze/recife/arboviroses/dimensoes/distrito/ingestion=20260819T211915Z/fabc97d8-8fa2-441d-824a-156a6980b270.csv,6,4,0
agravo,dimensao,agravo,,e23ef98a-7361-47de-8419-fc3b35e60a5e,bronze/recife/arboviroses/dimensoes/agravo/ingestion=20260819T211915Z/e23ef98a-7361-47de-8419-fc3b35e60a5e.csv,7,2,1
municipio,dimensao,municipio,,66acaf24-e9bd-4096-bd5c-2a9fa53b4057,bronze/recife/arboviroses/dimensoes/municipio/ingestion=20260819T211915Z/66acaf24-e9bd-4096-bd5c-2a9fa53b4057.csv,186,3,0
uf,dimensao,uf,,36b3cc67-8b06-4297-b7e4-db5a1abefaa6,bronze/recife/arboviroses/dimensoes/uf/ingestion=20260819T211915Z/36b3cc67-8b06-4297-b7e4-db5a1abefaa6.csv,27,3,0
