codigo_bairro,inicio_indice,inicio_ano,semanas_consecutivas_topk_antes
264,663,2025,1
264,671,2025,0
264,673,2025,0
27,531,2023,0
27,534,2023,0
27,549,2023,0
27,553,2023,0
27,556,2023,0
27,561,2023,0
27,579,2024,0
27,581,2024,1
27,584,2024,1
27,594,2024,0
27,598,2024,0
27,601,2024,0
27,608,2024,0
27,617,2024,0
27,628,2025,0
27,630,2025,0
27,632,2025,0
27,650,2025,0
27,654,2025,0
27,658,2025,0
27,664,2025,0
27,670,2025,0
272,526,2023,3
272,548,2023,0
272,565,2023,0
272,578,2024,2
272,583,2024,0
272,588,2024,0
272,654,2025,0
272,663,2025,0
272,665,2025,0
280,581,2024,0
280,654,2025,1
280,669,2025,0
280,671,2025,0
280,673,2025,0
299,524,2023,0
299,537,2023,0
299,547,2023,0
299,572,2023,0
299,581,2024,0
299,655,2025,0
299,657,2025,1
299,663,2025,1
299,669,2025,0
302,557,2023,0
302,559,2023,0
302,579,2024,0
302,594,2024,0
302,616,2024,0
302,623,2024,0
302,633,2025,0
302,660,2025,0
302,662,2025,0
302,674,2025,0
310,572,2023,0
310,581,2024,0
310,624,2024,0
310,630,2025,4
310,653,2025,0
310,663,2025,1
310,666,2025,1
310,672,2025,0
310,674,2025,1
329,603,2024,0
329,620,2024,0
329,622,2024,1
329,624,2024,1
329,658,2025,0
329,667,2025,0
329,669,2025,0
329,672,2025,0
329,675,2025,1
337,614,2024,0
337,656,2025,0
337,666,2025,0
337,673,2025,0
337,676,2025,0
345,565,2023,0
345,575,2024,0
345,599,2024,0
345,613,2024,0
345,615,2024,0
345,658,2025,0
345,669,2025,1
345,678,2025,0
35,567,2023,0
35,581,2024,0
35,588,2024,1
35,621,2024,0
35,625,2024,0
35,649,2025,2
35,656,2025,0
35,668,2025,0
35,674,2025,0
353,569,2023,0
353,625,2024,0
353,656,2025,0
353,660,2025,0
353,663,2025,0
353,667,2025,0
353,673,2025,0
353,678,2025,0
361,581,2024,0
361,654,2025,0
361,656,2025,2
361,660,2025,1
361,664,2025,0
361,668,2025,1
361,670,2025,1
370,556,2023,0
370,593,2024,0
370,615,2024,0
370,626,2025,0
370,653,2025,0
370,660,2025,4
370,663,2025,0
370,667,2025,2
370,673,2025,0
388,615,2024,0
388,618,2024,0
388,658,2025,1
388,664,2025,0
388,678,2025,0
396,555,2023,0
396,613,2024,0
396,618,2024,0
396,623,2024,0
396,658,2025,4
396,662,2025,1
396,667,2025,1
396,671,2025,0
396,674,2025,1
396,676,2025,0
400,571,2023,0
400,584,2024,0
400,587,2024,0
400,597,2024,1
400,607,2024,1
400,618,2024,0
400,621,2024,1
400,623,2024,0
400,626,2025,2
400,639,2025,0
400,648,2025,0
400,650,2025,2
400,657,2025,0
400,660,2025,0
400,662,2025,1
418,581,2024,0
418,584,2024,0
418,598,2024,0
418,602,2024,4
418,607,2024,4
418,619,2024,0
418,625,2024,0
418,658,2025,0
418,660,2025,0
418,662,2025,1
418,664,2025,1
426,584,2024,0
426,589,2024,0
426,618,2024,0
426,621,2024,0
426,655,2025,0
426,660,2025,0
426,670,2025,0
426,673,2025,1
426,675,2025,0
426,678,2025,0
43,579,2024,2
43,581,2024,4
43,585,2024,0
43,590,2024,0
43,604,2024,0
43,617,2024,0
43,622,2024,0
43,627,2025,0
43,653,2025,0
43,656,2025,2
43,658,2025,1
43,660,2025,1
43,664,2025,0
43,666,2025,0
434,585,2024,0
434,588,2024,0
434,622,2024,0
434,625,2024,0
434,660,2025,0
434,664,2025,1
434,670,2025,0
442,553,2023,0
442,591,2024,0
442,593,2024,0
442,618,2024,0
450,532,2023,1
450,553,2023,0
450,582,2024,0
450,588,2024,0
450,651,2025,0
450,659,2025,0
450,662,2025,0
450,664,2025,0
450,672,2025,0
469,557,2023,0
469,582,2024,0
469,584,2024,0
469,607,2024,0
469,611,2024,0
469,614,2024,0
469,622,2024,0
469,624,2024,0
469,630,2025,2
469,653,2025,0
469,655,2025,0
469,665,2025,0
469,667,2025,0
469,672,2025,0
477,581,2024,0
477,611,2024,0
477,614,2024,0
477,622,2024,0
477,636,2025,0
477,654,2025,0
477,663,2025,0
477,669,2025,0
485,570,2023,0
485,582,2024,0
485,585,2024,2
485,593,2024,0
485,602,2024,0
485,613,2024,0
485,621,2024,0
485,627,2025,0
485,634,2025,0
485,640,2025,0
485,663,2025,0
485,677,2025,0
493,584,2024,0
493,586,2024,0
493,590,2024,0
493,608,2024,0
493,616,2024,0
493,622,2024,0
493,658,2025,0
493,660,2025,1
493,664,2025,0
493,670,2025,0
493,675,2025,0
507,558,2023,0
507,582,2024,0
507,584,2024,1
507,586,2024,0
507,606,2024,0
507,616,2024,0
507,657,2025,0
507,661,2025,0
507,665,2025,0
507,668,2025,0
51,582,2024,0
51,590,2024,0
51,593,2024,0
51,619,2024,0
51,644,2025,0
51,650,2025,0
51,656,2025,0
51,660,2025,0
51,664,2025,0
51,667,2025,0
515,570,2023,0
515,598,2024,0
515,610,2024,0
515,657,2025,0
515,667,2025,0
515,675,2025,0
523,584,2024,0
523,618,2024,0
523,620,2024,0
523,655,2025,3
523,657,2025,1
523,659,2025,1
523,664,2025,1
523,667,2025,2
523,669,2025,0
531,582,2024,0
531,584,2024,0
531,624,2024,0
531,642,2025,0
531,658,2025,0
531,667,2025,1
531,670,2025,1
531,674,2025,0
531,676,2025,0
540,581,2024,0
540,584,2024,0
540,588,2024,0
540,624,2024,0
540,656,2025,0
540,658,2025,1
540,661,2025,1
540,670,2025,0
540,678,2025,0
558,584,2024,0
558,618,2024,0
558,663,2025,0
558,667,2025,0
558,669,2025,0
558,671,2025,0
566,572,2023,0
566,584,2024,0
566,587,2024,0
566,616,2024,1
566,618,2024,1
566,621,2024,0
566,623,2024,0
566,644,2025,0
566,658,2025,0
566,663,2025,0
566,671,2025,0
574,525,2023,0
574,558,2023,0
574,580,2024,0
574,582,2024,0
574,588,2024,0
574,613,2024,0
574,617,2024,0
574,623,2024,1
574,629,2025,2
574,653,2025,0
574,670,2025,0
574,673,2025,0
582,584,2024,0
582,586,2024,0
582,588,2024,0
582,590,2024,0
582,597,2024,0
582,608,2024,0
582,616,2024,1
582,656,2025,0
582,659,2025,0
582,662,2025,0
582,665,2025,1
582,667,2025,1
582,669,2025,1
582,671,2025,1
590,563,2023,0
590,567,2023,0
590,585,2024,0
590,600,2024,0
590,602,2024,0
590,649,2025,0
590,658,2025,0
590,665,2025,0
590,667,2025,0
60,666,2025,0
60,669,2025,0
604,554,2023,0
604,584,2024,0
604,586,2024,1
604,588,2024,0
604,598,2024,0
604,600,2024,1
604,604,2024,1
604,642,2025,0
604,651,2025,0
604,654,2025,3
604,658,2025,3
604,660,2025,1
604,665,2025,2
604,673,2025,3
612,572,2023,0
612,583,2024,0
612,587,2024,0
612,599,2024,0
612,607,2024,0
612,610,2024,2
612,627,2025,0
612,659,2025,0
612,662,2025,2
612,667,2025,0
612,670,2025,0
612,676,2025,0
620,554,2023,0
620,615,2024,0
620,617,2024,0
620,664,2025,0
647,589,2024,0
647,591,2024,1
647,627,2025,0
655,558,2023,0
655,587,2024,0
655,594,2024,0
655,653,2025,0
655,656,2025,0
655,659,2025,1
655,662,2025,1
663,570,2023,0
663,572,2023,2
663,624,2024,1
663,648,2025,0
671,581,2024,0
671,584,2024,0
671,587,2024,1
671,598,2024,0
671,621,2024,0
671,628,2025,0
671,640,2025,0
671,649,2025,0
671,678,2025,0
680,577,2024,0
680,609,2024,0
680,626,2025,0
680,629,2025,0
680,667,2025,0
698,598,2024,0
698,601,2024,0
698,603,2024,1
698,607,2024,0
698,613,2024,1
698,658,2025,0
698,666,2025,0
701,550,2023,1
701,554,2023,4
701,556,2023,4
701,558,2023,4
701,582,2024,0
701,585,2024,0
701,627,2025,0
701,654,2025,0
701,659,2025,0
710,548,2023,0
710,559,2023,0
710,568,2023,0
710,582,2024,0
710,588,2024,0
710,601,2024,0
710,660,2025,0
728,559,2023,0
728,582,2024,0
728,589,2024,0
728,619,2024,0
728,628,2025,0
728,660,2025,0
728,669,2025,0
736,588,2024,0
736,598,2024,0
736,600,2024,0
736,607,2024,0
736,612,2024,1
736,614,2024,1
736,626,2025,0
736,630,2025,0
736,649,2025,0
736,658,2025,0
736,660,2025,0
736,666,2025,0
744,554,2023,0
744,558,2023,0
744,560,2023,0
744,582,2024,0
744,587,2024,0
744,598,2024,0
744,600,2024,1
744,603,2024,1
744,605,2024,1
744,614,2024,0
744,618,2024,2
744,622,2024,1
744,625,2024,1
744,649,2025,0
744,658,2025,0
744,660,2025,0
744,667,2025,0
744,675,2025,0
752,524,2023,1
752,549,2023,0
752,552,2023,2
752,558,2023,2
752,560,2023,0
752,563,2023,0
752,565,2023,1
752,570,2023,1
752,584,2024,0
752,588,2024,1
752,594,2024,2
752,598,2024,3
752,601,2024,0
752,608,2024,0
752,620,2024,0
752,622,2024,1
752,627,2025,0
752,631,2025,2
752,657,2025,0
752,660,2025,0
752,668,2025,1
760,538,2023,0
760,583,2024,0
760,592,2024,0
760,596,2024,0
760,609,2024,0
760,621,2024,0
760,648,2025,0
760,667,2025,0
760,671,2025,0
779,584,2024,0
779,587,2024,0
779,589,2024,0
779,594,2024,0
779,596,2024,2
779,600,2024,0
779,603,2024,0
779,608,2024,0
779,626,2025,0
779,663,2025,0
779,674,2025,0
78,538,2023,2
78,553,2023,0
78,562,2023,0
78,564,2023,0
78,592,2024,0
78,615,2024,0
78,619,2024,0
78,646,2025,0
78,649,2025,0
78,653,2025,0
78,657,2025,0
787,583,2024,0
787,602,2024,0
787,608,2024,0
787,620,2024,0
787,631,2025,1
787,648,2025,0
787,663,2025,0
787,670,2025,0
795,581,2024,1
795,589,2024,3
795,652,2025,0
795,655,2025,2
795,657,2025,1
795,659,2025,0
809,536,2023,0
809,553,2023,0
809,578,2024,0
809,585,2024,0
809,588,2024,1
809,606,2024,0
809,608,2024,1
809,619,2024,2
809,661,2025,0
809,667,2025,0
817,556,2023,0
817,562,2023,0
817,581,2024,0
817,583,2024,0
817,585,2024,0
817,587,2024,1
817,597,2024,0
817,627,2025,0
817,629,2025,1
817,631,2025,1
817,658,2025,0
817,665,2025,1
825,568,2023,0
825,579,2024,0
825,581,2024,2
825,584,2024,1
825,603,2024,0
825,605,2024,0
825,609,2024,0
825,630,2025,1
825,647,2025,0
825,658,2025,0
825,664,2025,0
825,667,2025,0
825,671,2025,0
825,674,2025,0
833,574,2024,0
833,609,2024,0
833,614,2024,0
833,655,2025,0
833,659,2025,0
833,664,2025,0
833,666,2025,1
841,541,2023,1
841,558,2023,0
841,566,2023,1
841,570,2023,0
841,575,2024,0
841,578,2024,1
841,586,2024,0
841,589,2024,0
841,591,2024,0
841,596,2024,0
841,598,2024,1
841,618,2024,0
841,642,2025,2
841,655,2025,0
841,667,2025,0
850,554,2023,4
850,560,2023,0
850,570,2023,0
850,573,2023,0
850,589,2024,0
850,599,2024,0
850,663,2025,0
850,667,2025,1
850,669,2025,1
850,671,2025,0
86,553,2023,0
86,558,2023,0
86,560,2023,1
86,582,2024,0
86,588,2024,0
86,607,2024,0
86,613,2024,0
86,615,2024,0
86,624,2024,0
86,649,2025,0
86,653,2025,0
86,658,2025,0
86,666,2025,0
86,673,2025,0
868,583,2024,0
868,597,2024,0
868,601,2024,0
868,617,2024,0
868,620,2024,1
868,623,2024,0
868,626,2025,2
868,629,2025,2
868,657,2025,0
868,664,2025,0
868,667,2025,0
868,670,2025,2
876,563,2023,0
876,568,2023,0
876,572,2023,0
876,581,2024,0
876,588,2024,0
876,596,2024,0
876,599,2024,2
876,601,2024,1
876,606,2024,1
876,614,2024,0
876,657,2025,0
876,660,2025,1
876,665,2025,4
876,669,2025,0
884,612,2024,1
884,658,2025,0
884,661,2025,0
884,669,2025,0
884,673,2025,0
892,554,2023,0
892,564,2023,1
892,569,2023,0
892,576,2024,0
892,582,2024,0
892,586,2024,1
892,593,2024,0
892,596,2024,1
892,598,2024,1
892,601,2024,1
892,605,2024,0
892,617,2024,0
892,658,2025,0
892,660,2025,0
892,664,2025,0
892,672,2025,0
892,677,2025,0
906,554,2023,0
906,556,2023,1
906,559,2023,2
906,563,2023,0
906,574,2024,0
906,587,2024,0
906,592,2024,2
906,594,2024,1
906,597,2024,2
906,601,2024,0
906,604,2024,0
906,608,2024,3
906,612,2024,3
906,618,2024,4
906,622,2024,0
906,624,2024,0
906,655,2025,0
906,670,2025,2
914,573,2023,0
914,587,2024,0
914,595,2024,1
914,617,2024,1
914,624,2024,4
914,670,2025,0
914,673,2025,2
922,547,2023,2
922,554,2023,4
922,566,2023,0
922,585,2024,0
922,593,2024,2
922,597,2024,4
922,606,2024,4
922,612,2024,4
922,614,2024,4
922,622,2024,0
922,631,2025,0
922,647,2025,2
922,655,2025,1
922,658,2025,0
922,664,2025,1
930,607,2024,0
930,659,2025,0
930,668,2025,0
94,533,2023,4
94,553,2023,0
94,556,2023,2
94,562,2023,2
94,567,2023,1
94,570,2023,4
94,581,2024,1
94,583,2024,0
94,592,2024,0
94,595,2024,0
94,598,2024,0
94,612,2024,0
94,614,2024,0
94,631,2025,0
94,663,2025,0
949,561,2023,0
949,573,2023,0
949,581,2024,0
949,583,2024,0
949,585,2024,1
949,587,2024,1
949,597,2024,0
949,618,2024,0
949,622,2024,3
949,655,2025,0
949,657,2025,1
949,661,2025,1
949,667,2025,0
949,670,2025,1
949,673,2025,1
