codigo_bairro,inicio_indice,inicio_ano,melhor_posicao_antes_do_inicio,semanas_antecedencia_melhor_posicao,posicao_na_semana_de_inicio
353,656,2025,17.0,4,54.0
353,660,2025,24.0,3,54.0
353,663,2025,17.0,1,22.0
353,667,2025,22.0,4,22.0
353,673,2025,19.0,3,30.0
353,678,2025,12.0,4,44.0
361,581,2024,7.0,2,74.0
361,654,2025,6.0,3,23.0
361,656,2025,6.0,4,13.0
361,660,2025,1.0,2,7.0
361,664,2025,7.0,4,39.0
361,668,2025,22.0,3,55.0
361,670,2025,25.0,3,31.0
370,556,2023,56.0,1,62.0
370,593,2024,22.0,2,49.0
370,615,2024,17.0,1,33.0
370,626,2025,64.0,4,75.0
370,653,2025,40.0,1,13.0
370,660,2025,3.0,4,25.0
370,663,2025,2.0,1,35.0
370,667,2025,7.0,3,36.0
370,673,2025,25.0,4,52.0
388,615,2024,72.0,4,75.0
388,618,2024,14.0,2,32.0
388,658,2025,35.0,1,17.0
388,664,2025,4.0,3,46.0
388,678,2025,74.0,3,45.0
396,555,2023,63.0,3,46.0
396,613,2024,40.0,4,32.0
396,618,2024,12.0,4,48.0
396,623,2024,2.0,4,49.0
396,658,2025,11.0,2,21.0
396,662,2025,3.0,1,12.0
396,667,2025,10.0,2,8.0
396,671,2025,8.0,4,69.0
396,674,2025,1.0,1,26.0
396,676,2025,1.0,3,55.0
400,571,2023,6.0,1,42.0
400,584,2024,40.0,3,47.0
400,587,2024,6.0,2,26.0
400,597,2024,20.0,1,19.0
400,607,2024,26.0,2,23.0
400,618,2024,73.0,4,65.0
400,621,2024,1.0,1,13.0
400,623,2024,1.0,3,17.0
400,626,2025,1.0,2,9.0
400,639,2025,16.0,4,2.0
400,648,2025,33.0,3,28.0
400,650,2025,5.0,1,9.0
400,657,2025,5.0,4,21.0
400,660,2025,13.0,2,53.0
400,662,2025,13.0,4,22.0
418,581,2024,53.0,3,61.0
418,584,2024,9.0,2,22.0
418,598,2024,57.0,1,57.0
418,602,2024,8.0,1,5.0
418,607,2024,2.0,3,8.0
418,619,2024,20.0,4,72.0
418,625,2024,37.0,3,63.0
418,658,2025,10.0,4,23.0
418,660,2025,22.0,1,51.0
418,662,2025,22.0,3,51.0
418,664,2025,31.0,1,30.0
426,584,2024,60.0,1,61.0
426,589,2024,30.0,4,50.0
426,618,2024,24.0,2,63.0
426,621,2024,26.0,4,21.0
426,655,2025,37.0,1,77.0
426,660,2025,10.0,2,55.0
426,670,2025,4.0,4,48.0
426,673,2025,8.0,2,8.0
426,675,2025,8.0,4,21.0
426,678,2025,5.0,1,33.0
43,579,2024,9.0,3,34.0
43,581,2024,3.0,1,2.0
43,585,2024,2.0,4,40.0
43,590,2024,22.0,1,24.0
43,604,2024,60.0,1,52.0
43,617,2024,40.0,4,89.0
43,622,2024,34.0,4,87.0
43,627,2025,25.0,4,74.0
43,653,2025,8.0,2,49.0
43,656,2025,4.0,1,4.0
43,658,2025,4.0,3,12.0
43,660,2025,1.0,1,9.0
43,664,2025,2.0,3,33.0
43,666,2025,3.0,4,35.0
434,585,2024,58.0,1,55.0
434,588,2024,17.0,2,17.0
434,622,2024,35.0,1,26.0
434,625,2024,13.0,2,21.0
434,660,2025,41.0,1,38.0
434,664,2025,18.0,2,15.0
434,670,2025,16.0,3,47.0
442,553,2023,60.0,1,61.0
442,591,2024,48.0,1,24.0
442,593,2024,24.0,2,57.0
442,618,2024,19.0,2,29.0
450,532,2023,9.0,2,13.0
450,553,2023,23.0,4,54.0
450,582,2024,16.0,4,25.0
450,588,2024,29.0,4,58.0
450,651,2025,21.0,4,16.0
450,659,2025,39.0,4,69.0
450,662,2025,61.0,2,88.0
450,664,2025,60.0,1,65.0
450,672,2025,67.0,3,75.0
469,557,2023,67.0,1,74.0
469,582,2024,12.0,1,62.0
469,584,2024,12.0,3,60.0
469,607,2024,37.0,4,55.0
469,611,2024,10.0,2,43.0
469,614,2024,5.0,2,10.0
469,622,2024,26.0,4,54.0
469,624,2024,7.0,1,76.0
469,630,2025,1.0,4,11.0
469,653,2025,42.0,4,51.0
469,655,2025,12.0,1,31.0
469,665,2025,62.0,4,84.0
469,667,2025,50.0,1,76.0
469,672,2025,18.0,4,54.0
477,581,2024,39.0,4,63.0
477,611,2024,44.0,4,80.0
477,614,2024,9.0,2,48.0
477,622,2024,33.0,4,78.0
477,636,2025,26.0,1,34.0
477,654,2025,45.0,2,77.0
477,663,2025,59.0,4,84.0
477,669,2025,36.0,4,66.0
485,570,2023,85.0,4,71.0
485,582,2024,27.0,1,66.0
485,585,2024,4.0,2,34.0
485,593,2024,23.0,1,26.0
485,602,2024,37.0,1,35.0
485,613,2024,42.0,3,89.0
485,621,2024,73.0,1,88.0
485,627,2025,14.0,2,29.0
485,634,2025,13.0,1,29.0
485,640,2025,5.0,3,34.0
485,663,2025,68.0,4,81.0
485,677,2025,80.0,1,84.0
493,584,2024,23.0,2,32.0
493,586,2024,23.0,4,28.0
493,590,2024,17.0,3,65.0
493,608,2024,24.0,2,15.0
493,616,2024,32.0,2,35.0
493,622,2024,3.0,3,58.0
493,658,2025,57.0,4,85.0
493,660,2025,35.0,1,31.0
493,664,2025,25.0,3,59.0
493,670,2025,41.0,1,71.0
