codigo_bairro,inicio_indice,inicio_ano,melhor_posicao_antes_do_inicio,semanas_antecedencia_melhor_posicao,posicao_na_semana_de_inicio
86,624,2024,22.0,3,44.0
86,649,2025,20.0,1,64.0
86,653,2025,4.0,3,33.0
86,658,2025,4.0,4,54.0
86,666,2025,9.0,3,69.0
86,673,2025,1.0,4,41.0
868,583,2024,11.0,2,54.0
868,597,2024,62.0,3,61.0
868,601,2024,2.0,2,40.0
868,617,2024,7.0,1,28.0
868,620,2024,2.0,2,7.0
868,623,2024,4.0,2,57.0
868,626,2025,2.0,2,6.0
868,629,2025,3.0,2,7.0
868,657,2025,45.0,4,76.0
868,664,2025,43.0,4,74.0
868,667,2025,26.0,2,71.0
868,670,2025,13.0,2,34.0
876,563,2023,5.0,2,42.0
876,568,2023,3.0,4,20.0
876,572,2023,3.0,3,47.0
876,581,2024,46.0,1,48.0
876,588,2024,1.0,4,49.0
876,596,2024,6.0,2,34.0
876,599,2024,4.0,2,8.0
876,601,2024,4.0,4,3.0
876,606,2024,4.0,4,18.0
876,614,2024,1.0,4,20.0
876,657,2025,12.0,4,44.0
876,660,2025,19.0,2,27.0
876,665,2025,17.0,2,23.0
876,669,2025,17.0,3,59.0
884,612,2024,69.0,1,13.0
884,658,2025,92.0,4,73.0
884,661,2025,39.0,2,86.0
884,669,2025,2.0,4,61.0
884,673,2025,11.0,3,64.0
892,554,2023,16.0,3,25.0
892,564,2023,8.0,3,13.0
892,569,2023,3.0,3,19.0
892,576,2024,7.0,1,47.0
892,582,2024,15.0,1,26.0
892,586,2024,2.0,1,16.0
892,593,2024,4.0,4,4.0
892,596,2024,1.0,2,2.0
892,598,2024,1.0,4,4.0
892,601,2024,1.0,1,5.0
892,605,2024,5.0,4,6.0
892,617,2024,7.0,4,61.0
892,658,2025,34.0,3,80.0
892,660,2025,45.0,4,47.0
892,664,2025,29.0,3,83.0
892,672,2025,39.0,2,35.0
892,677,2025,26.0,4,61.0
906,554,2023,13.0,2,27.0
906,556,2023,8.0,1,4.0
906,559,2023,1.0,1,2.0
906,563,2023,1.0,3,20.0
906,574,2024,3.0,3,49.0
906,587,2024,45.0,3,44.0
906,592,2024,7.0,2,11.0
906,594,2024,7.0,4,5.0
906,597,2024,3.0,2,5.0
906,601,2024,5.0,4,22.0
906,604,2024,17.0,2,18.0
906,608,2024,5.0,1,17.0
906,612,2024,17.0,4,10.0
906,618,2024,7.0,1,21.0
906,622,2024,21.0,4,59.0
906,624,2024,4.0,1,64.0
906,655,2025,21.0,4,66.0
906,670,2025,35.0,3,43.0
914,573,2023,26.0,1,27.0
914,587,2024,40.0,3,40.0
914,595,2024,20.0,2,15.0
914,617,2024,17.0,2,17.0
914,624,2024,8.0,4,16.0
914,670,2025,77.0,1,76.0
914,673,2025,27.0,1,48.0
922,547,2023,4.0,4,5.0
922,554,2023,2.0,3,15.0
922,566,2023,11.0,2,32.0
922,585,2024,26.0,2,33.0
922,593,2024,2.0,2,3.0
922,597,2024,3.0,4,6.0
922,606,2024,1.0,3,3.0
922,612,2024,2.0,4,6.0
922,614,2024,1.0,1,1.0
922,622,2024,14.0,4,16.0
922,631,2025,40.0,4,24.0
922,647,2025,16.0,1,12.0
922,655,2025,14.0,3,27.0
922,658,2025,25.0,4,51.0
922,664,2025,29.0,4,40.0
930,607,2024,77.0,3,76.0
930,659,2025,82.0,3,90.0
930,668,2025,61.0,1,78.0
94,533,2023,3.0,1,4.0
94,553,2023,30.0,3,30.0
94,556,2023,4.0,1,9.0
94,562,2023,8.0,3,21.0
94,567,2023,2.0,4,18.0
94,570,2023,1.0,2,8.0
94,581,2024,7.0,4,17.0
94,583,2024,11.0,1,37.0
94,592,2024,45.0,4,49.0
94,595,2024,24.0,2,53.0
94,598,2024,16.0,2,50.0
94,612,2024,57.0,1,56.0
94,614,2024,9.0,1,35.0
94,631,2025,41.0,2,38.0
94,663,2025,85.0,3,83.0
949,561,2023,23.0,3,37.0
949,573,2023,28.0,4,72.0
949,581,2024,12.0,1,13.0
949,583,2024,12.0,3,63.0
949,585,2024,8.0,1,59.0
949,587,2024,8.0,3,38.0
949,597,2024,13.0,3,46.0
949,618,2024,22.0,3,27.0
949,622,2024,1.0,3,22.0
949,655,2025,41.0,1,14.0
949,657,2025,12.0,1,18.0
949,661,2025,5.0,1,30.0
949,667,2025,24.0,3,41.0
949,670,2025,9.0,1,21.0
949,673,2025,9.0,4,32.0
