id_semana_epi,agravo,ano_epidemiologico,semana_epidemiologica,is_observado,casos,banda_80_inferior,banda_80_superior,banda_95_inferior,banda_95_superior
201908,DENGUE,2019,8,True,62,,,,
201909,DENGUE,2019,9,True,49,,,,
201910,DENGUE,2019,10,True,26,,,,
201911,DENGUE,2019,11,True,66,,,,
201912,DENGUE,2019,12,True,66,,,,
201913,DENGUE,2019,13,True,96,,,,
201914,DENGUE,2019,14,True,83,,,,
201915,DENGUE,2019,15,True,91,,,,
201916,DENGUE,2019,16,True,79,,,,
201917,DENGUE,2019,17,True,140,,,,
201918,DENGUE,2019,18,True,198,,,,
201919,DENGUE,2019,19,True,205,,,,
201920,DENGUE,2019,20,True,175,,,,
201921,DENGUE,2019,21,True,248,,,,
201922,DENGUE,2019,22,True,237,,,,
201923,DENGUE,2019,23,True,173,,,,
201924,DENGUE,2019,24,True,161,,,,
201925,DENGUE,2019,25,True,155,,,,
201926,DENGUE,2019,26,True,204,,,,
201927,DENGUE,2019,27,True,241,,,,
201928,DENGUE,2019,28,True,217,,,,
201929,DENGUE,2019,29,True,219,,,,
201930,DENGUE,2019,30,True,190,,,,
201931,DENGUE,2019,31,True,183,,,,
201932,DENGUE,2019,32,True,199,,,,
201933,DENGUE,2019,33,True,200,,,,
201934,DENGUE,2019,34,True,229,,,,
201935,DENGUE,2019,35,True,180,,,,
201936,DENGUE,2019,36,True,227,,,,
201937,DENGUE,2019,37,True,187,,,,
201938,DENGUE,2019,38,True,191,,,,
201939,DENGUE,2019,39,True,226,,,,
201940,DENGUE,2019,40,True,281,,,,
201941,DENGUE,2019,41,True,197,,,,
201942,DENGUE,2019,42,True,159,,,,
201943,DENGUE,2019,43,True,227,,,,
201944,DENGUE,2019,44,True,137,,,,
201945,DENGUE,2019,45,True,299,,,,
201946,DENGUE,2019,46,True,100,,,,
201947,DENGUE,2019,47,True,105,,,,
201948,DENGUE,2019,48,True,68,,,,
201949,DENGUE,2019,49,True,41,,,,
201950,DENGUE,2019,50,True,59,,,,
201951,DENGUE,2019,51,True,90,,,,
201952,DENGUE,2019,52,True,42,,,,
202001,DENGUE,2020,1,True,43,,,,
202002,DENGUE,2020,2,True,51,,,,
202003,DENGUE,2020,3,True,62,,,,
202004,DENGUE,2020,4,True,55,,,,
202005,DENGUE,2020,5,True,40,,,,
202006,DENGUE,2020,6,True,38,,,,
202007,DENGUE,2020,7,True,48,,,,
202008,DENGUE,2020,8,True,57,,,,
202009,DENGUE,2020,9,True,50,,,,
202010,DENGUE,2020,10,True,50,,,,
202011,DENGUE,2020,11,True,63,,,,
202012,DENGUE,2020,12,True,77,,,,
202013,DENGUE,2020,13,True,25,,,,
202014,DENGUE,2020,14,True,12,,,,
202015,DENGUE,2020,15,True,21,,,,
202016,DENGUE,2020,16,True,23,,,,
202017,DENGUE,2020,17,True,18,,,,
202018,DENGUE,2020,18,True,8,,,,
202019,DENGUE,2020,19,True,11,,,,
202020,DENGUE,2020,20,True,28,,,,
202021,DENGUE,2020,21,True,22,,,,
202022,DENGUE,2020,22,True,11,,,,
202023,DENGUE,2020,23,True,31,,,,
202024,DENGUE,2020,24,True,88,,,,
202025,DENGUE,2020,25,True,102,,,,
202026,DENGUE,2020,26,True,73,,,,
202027,DENGUE,2020,27,True,160,,,,
202028,DENGUE,2020,28,True,171,,,,
202029,DENGUE,2020,29,True,140,,,,
202030,DENGUE,2020,30,True,179,,,,
202031,DENGUE,2020,31,True,198,,,,
202032,DENGUE,2020,32,True,147,,,,
202033,DENGUE,2020,33,True,131,,,,
202034,DENGUE,2020,34,True,113,,,,
202035,DENGUE,2020,35,True,95,,,,
202036,DENGUE,2020,36,True,133,,,,
202037,DENGUE,2020,37,True,91,,,,
202038,DENGUE,2020,38,True,95,,,,
202039,DENGUE,2020,39,True,125,,,,
202040,DENGUE,2020,40,True,102,,,,
202041,DENGUE,2020,41,True,80,,,,
202042,DENGUE,2020,42,True,38,,,,
202043,DENGUE,2020,43,True,77,,,,
202044,DENGUE,2020,44,True,75,,,,
202045,DENGUE,2020,45,True,64,,,,
202046,DENGUE,2020,46,True,66,,,,
202047,DENGUE,2020,47,True,35,,,,
202048,DENGUE,2020,48,True,42,,,,
202049,DENGUE,2020,49,True,28,,,,
202050,DENGUE,2020,50,True,32,,,,
202051,DENGUE,2020,51,True,32,,,,
202052,DENGUE,2020,52,True,11,,,,
202053,DENGUE,2020,53,True,18,,,,
202101,DENGUE,2021,1,True,41,,,,
202102,DENGUE,2021,2,True,32,,,,
202103,DENGUE,2021,3,True,29,,,,
202104,DENGUE,2021,4,True,25,,,,
202105,DENGUE,2021,5,True,45,,,,
202106,DENGUE,2021,6,True,28,,,,
202107,DENGUE,2021,7,True,45,,,,
202108,DENGUE,2021,8,True,57,,,,
202109,DENGUE,2021,9,True,39,,,,
202110,DENGUE,2021,10,True,81,,,,
202111,DENGUE,2021,11,True,50,,,,
202112,DENGUE,2021,12,True,52,,,,
202113,DENGUE,2021,13,True,53,,,,
202114,DENGUE,2021,14,True,63,,,,
202115,DENGUE,2021,15,True,89,,,,
202116,DENGUE,2021,16,True,108,,,,
202117,DENGUE,2021,17,True,225,,,,
202118,DENGUE,2021,18,True,248,,,,
202119,DENGUE,2021,19,True,289,,,,
202120,DENGUE,2021,20,True,520,,,,
202121,DENGUE,2021,21,True,702,,,,
202122,DENGUE,2021,22,True,777,,,,
202123,DENGUE,2021,23,True,795,,,,
202124,DENGUE,2021,24,True,619,,,,
202125,DENGUE,2021,25,True,437,,,,
202126,DENGUE,2021,26,True,647,,,,
202127,DENGUE,2021,27,True,539,,,,
202128,DENGUE,2021,28,True,539,,,,
202129,DENGUE,2021,29,True,538,,,,
202130,DENGUE,2021,30,True,401,,,,
202131,DENGUE,2021,31,True,335,,,,
202132,DENGUE,2021,32,True,315,,,,
202133,DENGUE,2021,33,True,323,,,,
202134,DENGUE,2021,34,True,294,,,,
202135,DENGUE,2021,35,True,215,,,,
202136,DENGUE,2021,36,True,143,,,,
202137,DENGUE,2021,37,True,171,,,,
202138,DENGUE,2021,38,True,133,,,,
202139,DENGUE,2021,39,True,99,,,,
202140,DENGUE,2021,40,True,89,,,,
202141,DENGUE,2021,41,True,70,,,,
202142,DENGUE,2021,42,True,89,,,,
202143,DENGUE,2021,43,True,80,,,,
202144,DENGUE,2021,44,True,36,,,,
202145,DENGUE,2021,45,True,58,,,,
202146,DENGUE,2021,46,True,34,,,,
202147,DENGUE,2021,47,True,43,,,,
202148,DENGUE,2021,48,True,45,,,,
202149,DENGUE,2021,49,True,74,,,,
202150,DENGUE,2021,50,True,53,,,,
202151,DENGUE,2021,51,True,50,,,,
202152,DENGUE,2021,52,True,29,,,,
202201,DENGUE,2022,1,True,34,,,,
202202,DENGUE,2022,2,True,27,,,,
202203,DENGUE,2022,3,True,41,,,,
202204,DENGUE,2022,4,True,21,,,,
202205,DENGUE,2022,5,True,16,,,,
202206,DENGUE,2022,6,True,55,,,,
202207,DENGUE,2022,7,True,28,,,,
202208,DENGUE,2022,8,True,39,,,,
202209,DENGUE,2022,9,True,26,,,,
202210,DENGUE,2022,10,True,28,,,,
202211,DENGUE,2022,11,True,42,,,,
202212,DENGUE,2022,12,True,36,,,,
202213,DENGUE,2022,13,True,38,,,,
202214,DENGUE,2022,14,True,47,,,,
202215,DENGUE,2022,15,True,46,,,,
202216,DENGUE,2022,16,True,39,,,,
202217,DENGUE,2022,17,True,61,,,,
202218,DENGUE,2022,18,True,84,,,,
202219,DENGUE,2022,19,True,57,,,,
202220,DENGUE,2022,20,True,88,,,,
202221,DENGUE,2022,21,True,70,,,,
202222,DENGUE,2022,22,True,72,,,,
202223,DENGUE,2022,23,True,68,,,,
202224,DENGUE,2022,24,True,88,,,,
202225,DENGUE,2022,25,True,40,,,,
202226,DENGUE,2022,26,True,69,,,,
202227,DENGUE,2022,27,True,61,,,,
202228,DENGUE,2022,28,True,96,,,,
202229,DENGUE,2022,29,True,105,,,,
202230,DENGUE,2022,30,True,79,,,,
202231,DENGUE,2022,31,True,93,,,,
202232,DENGUE,2022,32,True,132,,,,
202233,DENGUE,2022,33,True,93,,,,
202234,DENGUE,2022,34,True,126,,,,
202235,DENGUE,2022,35,True,77,,,,
202236,DENGUE,2022,36,True,42,,,,
202237,DENGUE,2022,37,True,68,,,,
202238,DENGUE,2022,38,True,63,,,,
202239,DENGUE,2022,39,True,36,,,,
202240,DENGUE,2022,40,True,40,,,,
202241,DENGUE,2022,41,True,35,,,,
202242,DENGUE,2022,42,True,56,,,,
202243,DENGUE,2022,43,True,60,,,,
202244,DENGUE,2022,44,True,42,,,,
202245,DENGUE,2022,45,True,77,,,,
